"_id","id","fun_fact"
"ObjectId(""692f52191639fcf02c09b08d"")","99","Die meisten Insekten können ihre Flügel schneller schlagen als Vögel."
"ObjectId(""692f52191639fcf02c09b08c"")","98","Der erste Mensch im Weltraum war Juri Gagarin 1961."
"ObjectId(""692f52191639fcf02c09b08b"")","97","Bambus kann bis zu 91 cm pro Tag wachsen."
"ObjectId(""692f52191639fcf02c09b08e"")","96","Das menschliche Skelett erneuert sich alle 10 Jahre vollständig."
"ObjectId(""692f52191639fcf02c09b089"")","95","Die Erde hat einen inneren und äußeren Kern."
"ObjectId(""692f52191639fcf02c09b088"")","94","Der größte Ozean der Welt ist der Pazifik."
"ObjectId(""692f52191639fcf02c09b08a"")","93","In Australien gibt es mehr Kängurus als Menschen."
"ObjectId(""692f52191639fcf02c09b087"")","92","Die meisten Vögel haben vier Zehen, einige haben drei oder fünf."
"ObjectId(""692f52191639fcf02c09b086"")","91","Das Wort 'Radar' ist eine Abkürzung für 'Radio Detection And Ranging'."
"ObjectId(""692f52191639fcf02c09b085"")","90","Die älteste bekannte Schriftrolle ist über 5.000 Jahre alt."
"ObjectId(""692f52191639fcf02c09b04b"")","9","In Japan gibt es Automaten, die frische Eier verkaufen."
"ObjectId(""692f52191639fcf02c09b084"")","89","Der schnellste Vogel im Sturzflug ist der Wanderfalke."
"ObjectId(""692f52191639fcf02c09b080"")","88","Die erste Eisenbahn wurde 1804 in England gebaut."
"ObjectId(""692f52191639fcf02c09b083"")","87","Die Augen eines Chamäleons bewegen sich unabhängig voneinander."
"ObjectId(""692f52191639fcf02c09b07f"")","86","Die höchste jemals gemessene Welle betrug 34 Meter."
"ObjectId(""692f52191639fcf02c09b082"")","85","Die Sprache der Menschen hat über 7.000 verschiedene Sprachen weltweit."
"ObjectId(""692f52191639fcf02c09b07d"")","84","Die meisten Schnecken sind Zwitter."
"ObjectId(""692f52191639fcf02c09b07c"")","83","Die älteste bekannte Landkarte stammt aus Babylonien und ist über 4.000 Jahre alt."
"ObjectId(""692f52191639fcf02c09b07a"")","82","Einige Metalle wie Gallium schmelzen in der Hand."
"ObjectId(""692f52191639fcf02c09b07b"")","81","Die größte Spinne der Welt ist die Goliath-Vogelspinne."
"ObjectId(""692f52191639fcf02c09b079"")","80","Der längste Fluss der Welt ist der Nil."
"ObjectId(""692f52191639fcf02c09b04c"")","8","Die erste Programmiersprache wurde von Ada Lovelace im 19. Jahrhundert entwickelt."
"ObjectId(""692f52191639fcf02c09b077"")","79","Es gibt mehr Lebewesen in einem Teelöffel Erde als Menschen auf der Erde."
"ObjectId(""692f52191639fcf02c09b078"")","78","Das größte bekannte Tier ist der Blauwal."
"ObjectId(""692f52191639fcf02c09b075"")","77","Die Blätter von Pflanzen bestehen zu etwa 90% aus Wasser."
"ObjectId(""692f52191639fcf02c09b081"")","76","Die meisten Menschen können nicht gleichzeitig niesen und die Augen offen halten."
"ObjectId(""692f52191639fcf02c09b097"")","75","Der T-Rex lebte vor etwa 68 Millionen Jahren."
"ObjectId(""692f52191639fcf02c09b091"")","74","Einige Fischarten können auf dem Land atmen."
"ObjectId(""692f52191639fcf02c09b073"")","73","Der größte lebende Vogel ist der Strauß."
"ObjectId(""692f52191639fcf02c09b072"")","72","Die erste Schreibmaschine wurde 1868 erfunden."
"ObjectId(""692f52191639fcf02c09b070"")","71","Die längste Eisenbahnstrecke der Welt ist die Transsibirische Eisenbahn."
"ObjectId(""692f52191639fcf02c09b076"")","70","Ein Elefant kann bis zu 70 Jahre alt werden."
"ObjectId(""692f52191639fcf02c09b034"")","7","Das Auge eines Straußes ist größer als sein Gehirn."
"ObjectId(""692f52191639fcf02c09b06e"")","69","In Venedig gibt es mehr Kanäle als Straßen."
"ObjectId(""692f52191639fcf02c09b06f"")","68","Die meisten Menschen blinzeln etwa 15–20 Mal pro Minute."
"ObjectId(""692f52191639fcf02c09b06b"")","67","Einige Bäume können mehrere tausend Jahre alt werden."
"ObjectId(""692f52191639fcf02c09b06d"")","66","Die größte Wüste der Welt ist die Antarktis, nicht die Sahara."
"ObjectId(""692f52191639fcf02c09b06c"")","65","Wasser kann unter Druck fest werden, ohne zu gefrieren."
"ObjectId(""692f52191639fcf02c09b06a"")","64","Die ersten Uhren wurden in Ägypten erfunden und basierten auf Sonnenstand."
"ObjectId(""692f52191639fcf02c09b069"")","63","Das Gehirn verbraucht etwa 20% der gesamten Energie des Körpers."
"ObjectId(""692f52191639fcf02c09b068"")","62","Die älteste Universität der Welt ist die Universität von Bologna, gegründet 1088."
"ObjectId(""692f52191639fcf02c09b067"")","61","Die Erde dreht sich pro Tag etwa 1.670 km/h am Äquator."
"ObjectId(""692f52191639fcf02c09b064"")","60","In Frankreich gibt es ein Gesetz, das besagt, dass Schweine keinen Namen tragen dürfen, der 'Napoleon' ist."
"ObjectId(""692f52191639fcf02c09b049"")","6","Die Sprache der Schmetterlinge wird durch Chemikalien in der Luft übermittelt."
"ObjectId(""692f52191639fcf02c09b065"")","59","Die menschliche Nase kann über eine Billion Gerüche unterscheiden."
"ObjectId(""692f52191639fcf02c09b063"")","58","Der Schmetterling lebt nur wenige Wochen, manche Arten nur einen Tag."
"ObjectId(""692f52191639fcf02c09b062"")","57","Die erste Kamera wurde im 19. Jahrhundert erfunden."
"ObjectId(""692f52191639fcf02c09b061"")","56","Die Milchstraße hat über 100 Milliarden Sterne."
"ObjectId(""692f52191639fcf02c09b066"")","55","Schnecken können mehrere Jahre schlafen."
"ObjectId(""692f52191639fcf02c09b094"")","54","Der größte Organismus der Erde ist ein Pilz in Oregon, USA, der über 2.000 Jahre alt ist."
"ObjectId(""692f52191639fcf02c09b093"")","53","In China gibt es lebende Fossilien wie den Quastenflosser."
"ObjectId(""692f52191639fcf02c09b096"")","52","Oktopusse können ihre Farbe blitzschnell ändern, um sich zu tarnen."
"ObjectId(""692f52191639fcf02c09b071"")","51","Die älteste bekannte Musik stammt aus dem Jahr 1400 v. Chr."
"ObjectId(""692f52191639fcf02c09b08f"")","50","Der menschliche Magen erneuert seine Schleimhaut alle 3–4 Tage."
"ObjectId(""692f52191639fcf02c09b047"")","5","Neutronensterne haben eine so starke Gravitation, dass ein Teelöffel ihrer Materie eine Milliarde Tonnen wiegen würde."
"ObjectId(""692f52191639fcf02c09b090"")","49","Einige Vögel können bis zu 200 km/h fliegen."
"ObjectId(""692f52191639fcf02c09b074"")","48","Der kleinste Knochen im menschlichen Körper ist der Steigbügel im Ohr."
"ObjectId(""692f52191639fcf02c09b060"")","47","Der tiefste Punkt der Erde ist der Marianengraben mit 11.034 Metern Tiefe."
"ObjectId(""692f52191639fcf02c09b092"")","46","Bienen können Farben sehen, die für Menschen unsichtbar sind."
"ObjectId(""692f52191639fcf02c09b07e"")","45","Der Mensch hat etwa 206 Knochen, Kinder haben mehr, die beim Wachsen verschmelzen."
"ObjectId(""692f52191639fcf02c09b05e"")","44","Diamanten können in der Natur aus Kometen entstehen."
"ObjectId(""692f52191639fcf02c09b05f"")","43","Die meisten Menschen haben eine einzigartige Zunge, ähnlich wie Fingerabdrücke."
"ObjectId(""692f52191639fcf02c09b05d"")","42","In der Antike wurden Krokodile als heilige Tiere verehrt."
"ObjectId(""692f52191639fcf02c09b05b"")","41","Die erste Landung auf dem Mond war 1969 mit Apollo 11."
"ObjectId(""692f52191639fcf02c09b05c"")","40","Ein Regenwurm hat fünf Herzen."
"ObjectId(""692f52191639fcf02c09b037"")","4","Banane ist eine Beere, während Erdbeere keine Beere ist."
"ObjectId(""692f52191639fcf02c09b059"")","39","Die Sahara war vor 10.000 Jahren eine grüne Landschaft."
"ObjectId(""692f52191639fcf02c09b05a"")","38","Der längste Roman der Welt umfasst über 9 Millionen Wörter."
"ObjectId(""692f52191639fcf02c09b057"")","37","Pflanzen reagieren auf Musik durch Wachstum."
"ObjectId(""692f52191639fcf02c09b056"")","36","In Island gibt es keine Wälder, aber es gibt mehr Schafe als Menschen."
"ObjectId(""692f52191639fcf02c09b055"")","35","Das Gehirn kann mehr Informationen speichern als das größte Computersystem der Welt."
"ObjectId(""692f52191639fcf02c09b054"")","34","Die schnellste Tiergeschwindigkeit an Land hält der Gepard mit 120 km/h."
"ObjectId(""692f52191639fcf02c09b058"")","33","Einige Schildkröten können durch ihren Po atmen."
"ObjectId(""692f52191639fcf02c09b053"")","32","Die älteste bekannte Schrift stammt aus Mesopotamien und ist über 5000 Jahre alt."
"ObjectId(""692f52191639fcf02c09b052"")","31","Die meisten Vulkane befinden sich unter Wasser."
"ObjectId(""692f52191639fcf02c09b051"")","30","Das Herz eines Blauwals ist so groß wie ein kleines Auto."
"ObjectId(""692f52191639fcf02c09b043"")","3","Die meisten Haie müssen ständig schwimmen, um atmen zu können."
"ObjectId(""692f52191639fcf02c09b050"")","29","Es gibt Pilze, die sich kilometerweit ausbreiten können."
"ObjectId(""692f52191639fcf02c09b044"")","28","Die Sprache der Bienen besteht aus Tanzbewegungen."
"ObjectId(""692f52191639fcf02c09b045"")","27","Ein Tag auf der Venus dauert länger als ein Venusjahr."
"ObjectId(""692f52191639fcf02c09b048"")","26","Papier kann schneller brennen als Holz."
"ObjectId(""692f52191639fcf02c09b042"")","25","Ein Blitz kann Temperaturen von bis zu 30.000 °C erreichen, fünfmal heißer als die Sonne."
"ObjectId(""692f52191639fcf02c09b041"")","24","Die ersten Kreditkarten wurden in den 1950er Jahren eingeführt."
"ObjectId(""692f52191639fcf02c09b040"")","23","In der Antarktis gibt es einen See unter dem Eis, der seit Millionen von Jahren von der Außenwelt isoliert ist."
"ObjectId(""692f52191639fcf02c09b03f"")","22","Wale singen unter Wasser, um miteinander zu kommunizieren."
"ObjectId(""692f52191639fcf02c09b03e"")","21","Die längste Zeit, die ein Mensch ohne Schlaf verbracht hat, beträgt etwa 11 Tage."
"ObjectId(""692f52191639fcf02c09b03d"")","20","Die meisten Staubpartikel in deinem Haus stammen von deiner eigenen Haut."
"ObjectId(""692f52191639fcf02c09b04d"")","2","Der menschliche Körper besteht zu etwa 60% aus Wasser."
"ObjectId(""692f52191639fcf02c09b03c"")","19","Es gibt mehr Sterne im Universum als Sandkörner auf der Erde."
"ObjectId(""692f52191639fcf02c09b03b"")","18","Die größte Schneeflocke der Welt hatte 38 cm Durchmesser."
"ObjectId(""692f52191639fcf02c09b03a"")","17","Katzen haben über 20 Muskeln in ihren Ohren."
"ObjectId(""692f52191639fcf02c09b039"")","16","Im Weltall gibt es einen Planeten, auf dem es regnet Diamanten."
"ObjectId(""692f52191639fcf02c09b038"")","15","Die menschliche DNA ist zu 50% mit der einer Banane identisch."
"ObjectId(""692f52191639fcf02c09b036"")","14","Bäume kommunizieren untereinander über unterirdische Pilznetzwerke."
"ObjectId(""692f52191639fcf02c09b035"")","13","Wasser kann kochen und gleichzeitig gefrieren, dies passiert am Tripelpunkt."
"ObjectId(""692f52191639fcf02c09b04e"")","12","Die Mona Lisa hat keine Augenbrauen – sie wurden im Laufe der Zeit entfernt."
"ObjectId(""692f52191639fcf02c09b04a"")","11","Der Mount Everest wächst jedes Jahr etwa 4 mm."
"ObjectId(""692f52191639fcf02c09b095"")","100","Die älteste bekannte Figur aus Ton stammt aus der Steinzeit und ist über 25.000 Jahre alt."
"ObjectId(""692f52191639fcf02c09b04f"")","10","Octopusse haben drei Herzen und blaues Blut."
