"_id","id","category","dish"
"ObjectId(""692e9d0c1be10974822a6e1d"")",7,"Italian","Tiramisu"
"ObjectId(""692e9d0c1be10974822a6e1e"")",9,"Italian","Bruschetta"
"ObjectId(""692e9d0c1be10974822a6e1f"")",4,"Italian","Risotto ai Funghi"
"ObjectId(""692e9d0c1be10974822a6e20"")",10,"Italian","Panna Cotta"
"ObjectId(""692e9d0c1be10974822a6e21"")",11,"German","Schnitzel"
"ObjectId(""692e9d0c1be10974822a6e22"")",13,"German","Kartoffelsalat"
"ObjectId(""692e9d0c1be10974822a6e23"")",12,"German","Bratwurst"
"ObjectId(""692e9d0c1be10974822a6e24"")",14,"German","Sauerkraut"
"ObjectId(""692e9d0c1be10974822a6e25"")",15,"German","Schweinsbraten"
"ObjectId(""692e9d0c1be10974822a6e26"")",8,"Italian","Ravioli Ricotta e Spinaci"
"ObjectId(""692e9d0c1be10974822a6e27"")",16,"German","Käsespätzle"
"ObjectId(""692e9d0c1be10974822a6e28"")",17,"German","Apfelstrudel"
"ObjectId(""692e9d0c1be10974822a6e29"")",5,"Italian","Gnocchi Pomodoro"
"ObjectId(""692e9d0c1be10974822a6e2a"")",1,"Italian","Pizza Margherita"
"ObjectId(""692e9d0c1be10974822a6e2b"")",19,"German","Weißwurst"
"ObjectId(""692e9d0c1be10974822a6e2c"")",3,"Italian","Lasagne"
"ObjectId(""692e9d0c1be10974822a6e2d"")",25,"Austrian","Sachertorte"
"ObjectId(""692e9d0c1be10974822a6e2e"")",27,"Austrian","Marillenknödel"
"ObjectId(""692e9d0c1be10974822a6e2f"")",6,"Italian","Calzone"
"ObjectId(""692e9d0c1be10974822a6e30"")",26,"Austrian","Backhendl"
"ObjectId(""692e9d0c1be10974822a6e31"")",28,"Austrian","Eiernockerl"
"ObjectId(""692e9d0c1be10974822a6e32"")",31,"Mexican","Tacos"
"ObjectId(""692e9d0c1be10974822a6e33"")",30,"Austrian","Powidltascherl"
"ObjectId(""692e9d0c1be10974822a6e34"")",32,"Mexican","Burrito"
"ObjectId(""692e9d0c1be10974822a6e35"")",29,"Austrian","Liptauerbrot"
"ObjectId(""692e9d0c1be10974822a6e36"")",33,"Mexican","Quesadilla"
"ObjectId(""692e9d0c1be10974822a6e37"")",34,"Mexican","Nachos"
"ObjectId(""692e9d0c1be10974822a6e38"")",35,"Mexican","Enchiladas"
"ObjectId(""692e9d0c1be10974822a6e39"")",2,"Italian","Spaghetti Carbonara"
"ObjectId(""692e9d0c1be10974822a6e3a"")",36,"Mexican","Chili con Carne"
"ObjectId(""692e9d0c1be10974822a6e3b"")",37,"Mexican","Guacamole"
"ObjectId(""692e9d0c1be10974822a6e3c"")",38,"Mexican","Tamales"
"ObjectId(""692e9d0c1be10974822a6e3d"")",40,"Mexican","Churros"
"ObjectId(""692e9d0c1be10974822a6e3e"")",39,"Mexican","Pozole"
"ObjectId(""692e9d0c1be10974822a6e3f"")",42,"Chinese","Sweet and Sour Pork"
"ObjectId(""692e9d0c1be10974822a6e40"")",43,"Chinese","Fried Rice"
"ObjectId(""692e9d0c1be10974822a6e41"")",41,"Chinese","Kung Pao Chicken"
"ObjectId(""692e9d0c1be10974822a6e42"")",44,"Chinese","Spring Rolls"
"ObjectId(""692e9d0c1be10974822a6e43"")",24,"Austrian","Gulaschsuppe"
